,category_1,category_1nm_x,category_2,category_2nm,lv1_num,lv2_num,YN,category_1nm_y
0,50000000,패션의류,50000167,여성의류,1,1,Y,패션잡화
1,50000000,패션의류,50000169,남성의류,1,3,Y,패션잡화
2,50000001,패션잡화,50000166,양말,2,11,Y,화장품/미용
3,50000001,패션잡화,50000173,여성신발,2,1,Y,화장품/미용
4,50000001,패션잡화,50000174,남성신발,2,2,Y,화장품/미용
5,50000001,패션잡화,50000175,신발용품,2,3,Y,화장품/미용
6,50000001,패션잡화,50000176,여성가방,2,4,Y,화장품/미용
7,50000001,패션잡화,50000177,남성가방,2,5,Y,화장품/미용
8,50000001,패션잡화,50000178,여행용가방/소품,2,6,Y,화장품/미용
9,50000001,패션잡화,50000179,지갑,2,7,Y,화장품/미용
10,50000001,패션잡화,50000180,벨트,2,8,Y,화장품/미용
11,50000001,패션잡화,50000181,모자,2,9,Y,화장품/미용
12,50000001,패션잡화,50000182,장갑,2,10,Y,화장품/미용
13,50000001,패션잡화,50000183,선글라스/안경테,2,12,Y,화장품/미용
14,50000001,패션잡화,50000184,헤어액세서리,2,13,Y,화장품/미용
15,50000001,패션잡화,50000185,패션소품,2,14,Y,화장품/미용
16,50000001,패션잡화,50000186,시계,2,15,Y,화장품/미용
17,50000001,패션잡화,50000189,주얼리,2,17,Y,화장품/미용
18,50000010,면세점,50000016,주얼리,11,4,Y,화장품/미용
19,50000002,화장품/미용,50000190,스킨케어,3,1,Y,디지털/가전
20,50000002,화장품/미용,50000191,선케어,3,6,Y,디지털/가전
21,50000002,화장품/미용,50000192,클렌징,3,4,Y,디지털/가전
22,50000002,화장품/미용,50000193,마스크/팩,3,5,Y,디지털/가전
23,50000002,화장품/미용,50000194,베이스메이크업,3,2,Y,디지털/가전
24,50000002,화장품/미용,50000195,색조메이크업,3,3,Y,디지털/가전
25,50000002,화장품/미용,50000196,네일케어,3,12,Y,디지털/가전
26,50000002,화장품/미용,50000197,바디케어,3,9,Y,디지털/가전
27,50000002,화장품/미용,50000198,헤어케어,3,10,Y,디지털/가전
28,50000002,화장품/미용,50000199,헤어스타일링,3,11,Y,디지털/가전
29,50000002,화장품/미용,50000200,향수,3,8,Y,디지털/가전
30,50000010,면세점,50000014,향수,11,2,Y,디지털/가전
31,50000002,화장품/미용,50000201,뷰티소품,3,13,Y,디지털/가전
32,50000002,화장품/미용,50000202,남성화장품,3,7,Y,디지털/가전
33,50000003,디지털/가전,50000088,게임기/타이틀,4,16,Y,가구/인테리어
34,50000003,디지털/가전,50000089,PC,4,4,Y,가구/인테리어
35,50000003,디지털/가전,50000091,노트북액세서리,4,2,Y,가구/인테리어
36,50000003,디지털/가전,50000092,태블릿PC액세서리,4,19,Y,가구/인테리어
37,50000003,디지털/가전,50000094,주변기기,4,21,Y,가구/인테리어
38,50000003,디지털/가전,50000095,멀티미디어장비,4,22,Y,가구/인테리어
39,50000003,디지털/가전,50000096,저장장치,4,23,Y,가구/인테리어
40,50000003,디지털/가전,50000097,PC부품,4,24,Y,가구/인테리어
41,50000003,디지털/가전,50000098,네트워크장비,4,25,Y,가구/인테리어
42,50000003,디지털/가전,50000099,소프트웨어,4,26,Y,가구/인테리어
43,50000003,디지털/가전,50000151,노트북,4,1,Y,가구/인테리어
44,50000003,디지털/가전,50000152,태블릿PC,4,18,Y,가구/인테리어
45,50000003,디지털/가전,50000153,모니터,4,5,Y,가구/인테리어
46,50000003,디지털/가전,50000204,휴대폰,4,14,Y,가구/인테리어
47,50000003,디지털/가전,50000205,휴대폰액세서리,4,3,Y,가구/인테리어
48,50000003,디지털/가전,50000206,카메라/캠코더용품,4,10,Y,가구/인테리어
49,50000003,디지털/가전,50000208,영상가전,4,6,Y,가구/인테리어
50,50000003,디지털/가전,50000209,음향가전,4,7,Y,가구/인테리어
51,50000003,디지털/가전,50000210,생활가전,4,8,Y,가구/인테리어
52,50000003,디지털/가전,50000211,이미용가전,4,9,Y,가구/인테리어
53,50000003,디지털/가전,50000212,계절가전,4,13,Y,가구/인테리어
54,50000003,디지털/가전,50000213,주방가전,4,11,Y,가구/인테리어
55,50000003,디지털/가전,50000214,자동차기기,4,12,Y,가구/인테리어
56,50000004,가구/인테리어,50000100,침실가구,5,1,Y,출산/육아
57,50000004,가구/인테리어,50000101,거실가구,5,2,Y,출산/육아
58,50000004,가구/인테리어,50000102,주방가구,5,3,Y,출산/육아
59,50000004,가구/인테리어,50000103,수납가구,5,4,Y,출산/육아
60,50000004,가구/인테리어,50000104,아동/주니어가구,5,5,Y,출산/육아
61,50000004,가구/인테리어,50000105,서재/사무용가구,5,6,Y,출산/육아
62,50000004,가구/인테리어,50000106,아웃도어가구,5,7,Y,출산/육아
63,50000004,가구/인테리어,50000107,DIY자재/용품,5,8,Y,출산/육아
64,50000004,가구/인테리어,50000108,인테리어소품,5,9,Y,출산/육아
65,50000004,가구/인테리어,50000109,침구단품,5,10,Y,출산/육아
66,50000004,가구/인테리어,50000110,침구세트,5,11,Y,출산/육아
67,50000004,가구/인테리어,50000111,솜류,5,12,Y,출산/육아
68,50000004,가구/인테리어,50000112,카페트/러그,5,13,Y,출산/육아
69,50000004,가구/인테리어,50000113,커튼/블라인드,5,14,Y,출산/육아
70,50000004,가구/인테리어,50000114,수예,5,16,Y,출산/육아
71,50000004,가구/인테리어,50000154,홈데코,5,15,Y,출산/육아
72,50000005,출산/육아,50000117,물티슈,6,3,Y,식품
73,50000005,출산/육아,50000126,위생/건강용품,6,12,Y,식품
74,50000005,출산/육아,50000136,출산/돌기념품,6,22,Y,식품
75,50000005,출산/육아,50000137,신생아의류,6,23,Y,식품
76,50000005,출산/육아,50000138,유아동의류,6,24,Y,식품
77,50000005,출산/육아,50000139,유아동잡화,6,26,Y,식품
78,50000005,출산/육아,50000142,완구/매트,6,30,Y,식품
79,50000005,출산/육아,50000143,인형,6,31,Y,식품
80,50000005,출산/육아,50007127,유아동 주얼리,6,28,Y,식품
81,50000005,출산/육아,50007135,유아동언더웨어/잠옷,6,25,Y,식품
82,50000006,식품,50000023,건강식품,7,11,Y,스포츠/레저
83,50000006,식품,50000024,다이어트식품,7,12,Y,스포츠/레저
84,50000006,식품,50000026,냉동/간편조리식품,7,10,Y,스포츠/레저
85,50000006,식품,50000145,축산,7,1,Y,스포츠/레저
86,50000006,식품,50000146,반찬,7,4,Y,스포츠/레저
87,50000006,식품,50000147,김치,7,5,Y,스포츠/레저
88,50000006,식품,50000148,음료,7,6,Y,스포츠/레저
89,50000006,식품,50000149,과자,7,7,Y,스포츠/레저
90,50000006,식품,50000150,가공식품,7,9,Y,스포츠/레저
91,50000006,식품,50000159,수산,7,2,Y,스포츠/레저
92,50000006,식품,50000160,농산물,7,3,Y,스포츠/레저
93,50000006,식품,50006349,전통주,7,13,Y,스포츠/레저
94,50000007,스포츠/레저,50000027,등산,8,1,Y,생활/건강
95,50000007,스포츠/레저,50000028,캠핑,8,2,Y,생활/건강
96,50000007,스포츠/레저,50000029,골프,8,3,Y,생활/건강
97,50000007,스포츠/레저,50000030,헬스,8,8,Y,생활/건강
98,50000007,스포츠/레저,50000031,요가/필라테스,8,9,Y,생활/건강
99,50000007,스포츠/레저,50000035,오토바이/스쿠터,8,12,Y,생활/건강
100,50000007,스포츠/레저,50000048,댄스,8,25,Y,생활/건강
101,50000007,스포츠/레저,50000050,보호용품,8,27,Y,생활/건강
102,50000007,스포츠/레저,50000053,스포츠액세서리,8,30,Y,생활/건강
103,50000007,스포츠/레저,50000161,자전거,8,4,Y,생활/건강
104,50000007,스포츠/레저,50000162,스키/보드,8,5,Y,생활/건강
105,50000007,스포츠/레저,50000164,수영,8,7,Y,생활/건강
106,50000008,생활/건강,50000054,화방용품,9,3,Y,여가/생활편의
107,50000008,생활/건강,50000055,자동차용품,9,4,Y,여가/생활편의
108,50000008,생활/건강,50000056,수집품,9,5,Y,여가/생활편의
109,50000008,생활/건강,50000057,관상어용품,9,6,Y,여가/생활편의
110,50000008,생활/건강,50000061,주방용품,9,12,Y,여가/생활편의
111,50000008,생활/건강,50000062,세탁용품,9,13,Y,여가/생활편의
112,50000008,생활/건강,50000063,건강측정용품,9,14,Y,여가/생활편의
113,50000008,생활/건강,50000064,건강관리용품,9,15,Y,여가/생활편의
114,50000008,생활/건강,50000065,당뇨관리용품,9,16,Y,여가/생활편의
115,50000008,생활/건강,50000066,의료용품,9,17,Y,여가/생활편의
116,50000008,생활/건강,50000067,실버용품,9,18,Y,여가/생활편의
117,50000008,생활/건강,50000068,재활운동용품,9,19,Y,여가/생활편의
118,50000008,생활/건강,50000069,물리치료/저주파용품,9,20,Y,여가/생활편의
119,50000008,생활/건강,50000070,좌욕/좌훈용품,9,21,Y,여가/생활편의
120,50000008,생활/건강,50000071,냉온/찜질용품,9,22,Y,여가/생활편의
121,50000008,생활/건강,50000072,구강위생용품,9,23,Y,여가/생활편의
122,50000008,생활/건강,50000073,눈건강용품,9,24,Y,여가/생활편의
123,50000008,생활/건강,50000074,발건강용품,9,25,Y,여가/생활편의
124,50000008,생활/건강,50000075,안마용품,9,28,Y,여가/생활편의
125,50000008,생활/건강,50000076,수납/정리용품,9,31,Y,여가/생활편의
126,50000008,생활/건강,50000077,청소용품,9,32,Y,여가/생활편의
127,50000008,생활/건강,50000078,생활용품,9,33,Y,여가/생활편의
128,50000008,생활/건강,50000079,원예/식물,9,26,Y,여가/생활편의
129,50000008,생활/건강,50000080,정원/원예용품,9,27,Y,여가/생활편의
130,50000008,생활/건강,50000155,반려동물,9,8,Y,여가/생활편의
131,50000008,생활/건강,50000156,악기,9,7,Y,여가/생활편의
132,50000008,생활/건강,50000157,욕실용품,9,30,Y,여가/생활편의
133,50000008,생활/건강,50000158,문구/사무용품,9,2,Y,여가/생활편의
134,50000008,생활/건강,50000165,공구,9,1,Y,여가/생활편의
